query	taxid	go	multi_taxids_confidence	go_id_confidence	nonviral_adhesion	viral_adhesion	antibiotic_resistance	avirulence_plant	counter_immunoglobulin	cytotoxicity	develop_in_host	disable_organ	plant_rna_silencing	induce_inflammation	nonviral_invasion	viral_invasion	degrade_ecm	host_cytoskeleton	host_cell_cycle	host_cell_death	host_gtpase	host_transcription	host_translation	host_ubiquitin	host_xenophagy	nonviral_movement	viral_movement	toxin_synthase	resist_complement	resist_oxidative	secreted_effector	secretion	suppress_detection	bacterial_counter_signaling	viral_counter_signaling	virulence_regulator	virulence_activity	size	organism	gene_name	uniprot	uniprot evalue
Oct29_009	45351	GO:0035821;GO:0090729	45351:1.0	GO:0035821[1.0];GO:0090729[1.0]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	Nematostella vectensis	Predicted protein NvePTx1	A7RMN1	8.0e-07
Oct29_023	4202	GO:0017148;GO:0016787;GO:0035821;GO:0090729;GO:0000166;GO:0030246;GO:0006952;GO:0030598	4202:1.0	GO:0017148[1.0];GO:0016787[1.0];GO:0035821[1.0];GO:0090729[1.0];GO:0000166[1.0];GO:0030246[1.0];GO:0006952[1.0];GO:0030598[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	Sambucus nigra	Ribosome-inactivating protein SNAIf	O22415	1.3e-17
Oct29_161	489467	GO:0075732;GO:0016032;GO:0030683;GO:0009405;GO:0046718;GO:0003723;GO:0003677;GO:0075521;GO:0075606;GO:0005198	489467:1.0	GO:0075732[1.0];GO:0016032[1.0];GO:0030683[1.0];GO:0009405[1.0];GO:0046718[1.0];GO:0003723[1.0];GO:0003677[1.0];GO:0075521[1.0];GO:0075606[1.0];GO:0005198[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	Hepatitis B virus ar/Japan/S-207/1988	External core antigen	Q9WMB7	5.2e-118
Oct29_183	45351	GO:0035821;GO:0090729	45351:1.0	GO:0035821[1.0];GO:0090729[1.0]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	Nematostella vectensis	Predicted protein NvePTx1	A7RMN1	3.2e-42
Oct29_126	3816	GO:0045807;GO:0017148;GO:0016787;GO:0035821;GO:0090729;GO:0005534;GO:0030246;GO:0006952;GO:0030598	3816:1.0	GO:0045807[1.0];GO:0017148[1.0];GO:0016787[1.0];GO:0035821[1.0];GO:0090729[1.0];GO:0005534[1.0];GO:0030246[1.0];GO:0006952[1.0];GO:0030598[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	Abrus precatorius	Abrin-a	P11140	9.5e-45
Oct29_050	242110	GO:0008200;GO:0035821;GO:0090729;GO:0009405;GO:0019871;GO:0006952	242110:1.0	GO:0008200[1.0];GO:0035821[1.0];GO:0090729[1.0];GO:0009405[1.0];GO:0019871[1.0];GO:0006952[1.0]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	Parabuthus granulatus	Alpha-toxin PgKL1	P0C5F0	2.9e-34
Oct29_140	8620	GO:0010951;GO:0035821;GO:0090729;GO:0004867	8620:1.0	GO:0010951[1.0];GO:0035821[1.0];GO:0090729[1.0];GO:0004867[1.0]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	Dendroaspis polylepis polylepis	Kunitz-type serine protease inhibitor homolog dendrotoxin K (Fragment)	P00981	1.1e-41
Oct29_157	380989	GO:0035821;GO:0090729;GO:0009405;GO:0019855	380989:1.0	GO:0035821[1.0];GO:0090729[1.0];GO:0009405[1.0];GO:0019855[1.0]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	Hadrurus gertschi	Hadrucalcin	B8QG00	1.2e-32
Oct29_193	8732	GO:0050482;GO:0035821;GO:0090729;GO:0004623;GO:0016042;GO:0006644;GO:0005509	8732:1.0	GO:0050482[1.0];GO:0035821[1.0];GO:0090729[1.0];GO:0004623[1.0];GO:0016042[1.0];GO:0006644[1.0];GO:0005509[1.0]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	Crotalus durissus terrificus	Phospholipase A2 homolog crotoxin acid subunit CA	P08878	5.3e-76
Oct29_062	31164	GO:0035821;GO:0090729	31164:1.0	GO:0035821[1.0];GO:0090729[1.0]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	Bunodosoma granuliferum	Kappa-actitoxin-Bgr1a	P29186	7.6e-10
Seq9968	10677	GO:0006260;GO:1990238;GO:0006313;GO:0016874;GO:0016787;GO:0039693;GO:0032196;GO:0006310;GO:0015074;GO:0003677;GO:0004803;GO:0006281;GO:0004518;GO:0003676;GO:0098689;GO:0046872;GO:0090305	10677:1.0	GO:0006260[1.0];GO:1990238[1.0];GO:0006313[1.0];GO:0016874[1.0];GO:0016787[1.0];GO:0039693[1.0];GO:0032196[1.0];GO:0006310[1.0];GO:0015074[1.0];GO:0003677[1.0];GO:0004803[1.0];GO:0006281[1.0];GO:0004518[1.0];GO:0003676[1.0];GO:0098689[1.0];GO:0046872[1.0];GO:0090305[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	773	Escherichia virus Mu	DDE-recombinase A	P07636	4.5e-140
Seq10017	10036	GO:0008233;GO:0016787;GO:0008241;GO:0006508;GO:0004180;GO:0008237;GO:0046872	10036:1.0	GO:0008233[1.0];GO:0016787[1.0];GO:0008241[1.0];GO:0006508[1.0];GO:0004180[1.0];GO:0008237[1.0];GO:0046872[1.0]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	882	Mesocricetus auratus	Angiotensin-converting enzyme	Q50JE5	3.1e-177
Seq10142	8722	GO:0008233;GO:0008236;GO:0016787;GO:0035821;GO:0090729;GO:0006508;GO:0004252	8722:1.0	GO:0008233[1.0];GO:0008236[1.0];GO:0016787[1.0];GO:0035821[1.0];GO:0090729[1.0];GO:0006508[1.0];GO:0004252[1.0]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	779	Bothrops asper	Thrombin-like enzyme asperase	Q072L6	5.7e-151
Oct29_012	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58	-	-	-	-
